V1;V2;V3;SA1;SA2;SA3;SI0;SI1;SI2;SP1;SP2;SP3;SF1;SF2;SF3;CL1;CL2;CL3;CH1;CH2;CH3;CE1;CE2;CE3;CB1;CB2;CB3;CD1;CD2;CD3;CJ1;CJ2;CJ3;CC1;CC2;CC3;CI4;CI5;LS1;LS2;LS3;LA1;LA2;LA3;LA4;LA5;LV1;LG1;LG2;LG3;RET1;RET2;RET3;PS1;PS2;PS4;RS1;RS2;RS3;RC1;RC2;RC3;RC4;E1;E2;E4;E5;E9;E10;E13;E14;E17;E19;E21;E26;E28;CSSC1;CSSC2;TLKS1;TLKS2;TLKS3;V_media;SA_media;SI_media;SP_media;SF_media;CL_media;CH_media;CE_media;CB_media;CD_media;CJ_media;CC_media;CI_media;LS_media;LA_media;LV_media;LG_media;RET_media;PS_media;RS_media;RC_media;E_media;CSSC_media;TLKS_media;Obs_01;AREA_kdpshksbte;AREA_oswghdgdxt;AREA_oygcguabiv;AREA_qezlrbomit;AREA_qmsudmubli;AREA_vwbmgqjqnq;EQUIPO_jqkogmchgv;EQUIPO_ktarwvxyts;EQUIPO_nnojgjufpu;EQUIPO_oycgfedlgb;EQUIPO_qmsudmubli;EQUIPO_rflidbinih;EDAD_ijawrgtfuz;EDAD_omygfsbzgq;EDAD_pqgwhrmfdu;EDAD_qmsudmubli;EDAD_vjekcogdhn;GENERO_Femenino;GENERO_Masculino;GENERO_No binario;Cluster
5.0;4.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;4.0;2.0;3.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;4.0;4.0;5.0;4.0;2.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;5.0;3.0;3.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;5.0;3.0;4.0;3.0;2.0;5.0;2.0;5.0;2.0;5.0;5.0;5.0;4.0;4.0;4.0;4.333333333333333;5.0;4.666666666666667;3.0;4.0;5.0;4.0;4.333333333333333;3.6666666666666665;5.0;4.0;5.0;5.0;4.0;4.4;5.0;5.0;3.6666666666666665;4.333333333333333;5.0;5.0;3.692307692307693;5.0;4.0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
4.0;5.0;3.0;5.0;5.0;5.0;4.0;5.0;6.0;2.0;2.0;2.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;4.0;6.0;6.0;6.0;6.0;5.0;5.0;3.0;3.0;4.0;5.0;3.0;3.0;2.0;5.0;5.0;6.0;5.0;5.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;6.0;5.0;5.0;5.0;5.0;3.0;3.0;6.0;5.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;3.0;4.0;1.0;6.0;4.0;3.0;2.0;3.0;5.0;2.0;4.0;2.0;5.0;6.0;4.0;3.0;2.0;5.0;4.0;5.0;5.0;2.0;4.666666666666667;5.0;5.333333333333333;6.0;4.333333333333333;4.0;2.6666666666666665;5.333333333333333;5.0;6.0;5.6;5.0;5.0;4.0;4.666666666666667;5.0;6.0;3.3846153846153846;5.0;3.333333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
5.0;4.0;5.0;4.0;4.0;4.0;4.0;5.0;5.0;3.0;3.0;3.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;4.0;5.0;5.0;4.0;5.0;4.0;4.0;3.0;3.0;4.0;3.0;3.0;4.0;4.0;4.0;5.0;4.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;4.0;5.0;5.0;4.0;5.0;5.0;2.0;2.0;5.0;2.0;5.0;2.0;5.0;4.0;2.0;5.0;2.0;4.0;6.0;6.0;5.0;3.0;2.0;4.666666666666667;4.0;4.666666666666667;3.0;4.333333333333333;5.0;5.0;5.0;3.333333333333333;2.333333333333333;2.6666666666666665;4.666666666666667;4.5;3.6666666666666665;3.4;4.0;4.333333333333333;4.666666666666667;5.0;4.333333333333333;4.75;3.4615384615384617;6.0;3.333333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0
5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;-1.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;4.0;4.0;4.0;3.0;3.0;2.0;2.0;5.0;5.0;5.0;-1.0;-1.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;2.0;1.0;5.0;2.0;4.0;3.0;3.0;5.0;2.0;5.0;2.0;5.0;5.0;4.0;5.0;3.0;4.0;5.0;5.0;5.0;4.0;4.0;4.666666666666667;4.666666666666667;4.666666666666667;4.666666666666667;3.6666666666666665;2.333333333333333;5.0;-1.0;5.0;4.8;5.0;5.0;4.0;4.666666666666667;4.666666666666667;5.0;3.3076923076923075;4.5;4.0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
2.0;2.0;2.0;1.0;1.0;1.0;4.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;4.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;4.0;1.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;5.0;4.0;6.0;5.0;5.0;5.0;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;1.0;3.0;2.0;3.0;2.0;2.0;1.0;1.0;2.0;6.0;6.0;2.0;1.0;1.0;2.0;1.0;4.666666666666667;1.0;1.0;1.0;1.3333333333333333;2.0;4.0;5.0;5.0;3.6666666666666665;1.5;1.3333333333333333;1.4;2.0;1.6666666666666667;5.0;5.0;1.6666666666666667;1.75;1.8461538461538465;6.0;1.3333333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
5.0;5.0;4.0;5.0;4.0;5.0;5.0;5.0;4.0;1.0;1.0;1.0;3.0;3.0;5.0;4.0;3.0;4.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;4.0;4.0;4.0;3.0;2.0;1.0;4.0;4.0;4.0;4.0;3.0;5.0;5.0;5.0;5.0;-1.0;4.0;4.0;3.0;4.0;5.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;5.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;4.0;4.0;2.0;3.0;4.0;3.0;1.0;3.0;2.0;4.0;2.0;1.0;4.0;4.0;4.0;3.0;3.0;4.0;4.666666666666667;4.666666666666667;4.666666666666667;1.0;3.6666666666666665;3.6666666666666665;2.333333333333333;2.333333333333333;3.333333333333333;4.0;2.0;4.0;3.5;5.0;4.0;4.0;4.0;3.333333333333333;4.0;3.333333333333333;3.25;2.8461538461538463;4.0;3.333333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
5.0;5.0;4.0;5.0;4.0;4.0;6.0;6.0;5.0;1.0;1.0;2.0;3.0;6.0;6.0;5.0;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;3.0;2.0;5.0;5.0;6.0;4.0;4.0;5.0;5.0;3.0;5.0;3.0;4.0;4.0;4.0;4.0;5.0;5.0;3.0;6.0;6.0;6.0;6.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;3.0;1.0;5.0;2.0;4.0;1.0;4.0;5.0;2.0;5.0;2.0;4.0;6.0;6.0;4.0;2.0;4.0;4.666666666666667;4.333333333333333;5.666666666666667;1.3333333333333333;5.0;4.666666666666667;4.0;4.0;3.333333333333333;3.333333333333333;2.6666666666666665;5.333333333333333;4.0;4.333333333333333;4.0;4.0;4.333333333333333;6.0;5.0;5.0;4.75;3.3076923076923075;6.0;3.333333333333333;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
-1.0;-1.0;-1.0;5.0;4.0;5.0;3.0;4.0;4.0;1.0;1.0;1.0;5.0;4.0;4.0;5.0;3.0;5.0;5.0;4.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;-1.0;3.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;-1.0;-1.0;-1.0;3.0;2.0;2.0;2.0;3.0;3.0;1.0;-1.0;-1.0;-1.0;-1.0;2.0;-1.0;-1.0;4.0;-1.0;5.0;5.0;5.0;4.0;2.0;1.0;-1.0;4.666666666666667;3.6666666666666665;1.0;4.333333333333333;4.333333333333333;4.333333333333333;5.0;4.666666666666667;5.0;4.0;5.0;4.5;5.0;4.8;5.0;5.0;5.0;5.0;-1.0;2.25;3.0;5.0;2.333333333333333;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
4.0;5.0;3.0;5.0;4.0;5.0;5.0;5.0;5.0;1.0;1.0;3.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;3.0;4.0;4.0;4.0;4.0;4.0;5.0;3.0;4.0;3.0;2.0;3.0;4.0;5.0;5.0;5.0;4.0;5.0;5.0;5.0;4.0;5.0;3.0;4.0;4.0;4.0;5.0;4.0;4.0;4.0;6.0;6.0;6.0;6.0;6.0;4.0;5.0;5.0;5.0;4.0;4.0;3.0;5.0;5.0;3.0;2.0;4.0;3.0;5.0;2.0;3.0;5.0;4.0;4.0;2.0;4.0;5.0;5.0;4.0;5.0;5.0;4.0;4.666666666666667;5.0;1.6666666666666667;5.0;4.0;3.6666666666666665;4.0;4.333333333333333;3.333333333333333;3.0;5.0;4.5;4.666666666666667;4.0;5.0;4.0;6.0;5.333333333333333;5.0;4.0;3.5384615384615383;5.0;4.666666666666667;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
6.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;5.0;3.0;3.0;3.0;4.0;4.0;4.0;5.0;4.0;4.0;5.0;5.0;5.0;4.0;4.0;5.0;5.0;4.0;5.0;3.0;3.0;3.0;3.0;3.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;5.0;5.0;5.0;4.0;4.0;4.0;5.0;5.0;5.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;6.0;5.0;2.0;1.0;5.0;2.0;4.0;2.0;4.0;4.0;2.0;5.0;2.0;5.0;6.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;3.0;4.0;4.333333333333333;5.0;4.333333333333333;4.666666666666667;3.0;2.6666666666666665;4.0;4.0;4.0;4.4;5.0;4.0;5.0;6.0;6.0;5.5;3.3076923076923075;5.5;4.666666666666667;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
